condition,label
"Spectral analysis of tremor: understanding the results. Spectral analysis of a tremor record can sometimes produce a spectrum with multiple components of significant amplitude. The problem is to determine whether the presence of several peaks represents the coexistence of separate tremor mechanisms or be a consequence of fluctuations in the frequency or amplitude of a single tremor. The spectrum of a tremor whose frequency or amplitude vary and are independent has the recognisable pattern of a central carrier frequency with sidebands of equal amplitudes distributed symmetrically around the carrier. However, if tremor amplitude and frequency fluctuate and are not independent, (frequency proportional to amplitude or frequency inversely proportional to amplitude), the spectrum has a pattern of sidebands which are asymmetrical in amplitudes and may resemble the spectrum of the combined signal from different independent oscillators. The investigation of sidebands in spectra has been neglected in tremor studies and multiple irregular peaks on a tremor spectrum have sometimes been used wrongly as evidence for the coexistence of multiple tremor mechanisms or frequency components assumed to be concurrent. ",nervous system diseases
"Pilot study of sandostatin (octreotide) therapy of refractory HIV-associated diarrhea. Seventeen AIDS patients were enrolled in a prospective open-label dose-finding study of octreotide (Sandostatin) therapy for refractory diarrhea. Five were nonevaluable due to progression of AIDS symptomatology, and one was excluded because of lack of confirmation of HIV infection. Five of 11 evaluable patients responded to therapy (45%); two each at 50 micrograms and 100 micrograms, and one at 250 micrograms thrice daily doses. A sixth patient demonstrated a moderate reduction in stool volume at 250 micrograms thrice daily, which, although deemed clinically relevant, did not meet the criteria for response. On discontinuation of therapy, diarrhea recurred in all patients within 1-12 days, and responded to reinitiation of octreotide in those five patients who resumed treatment. Only one of the three patients with concurrent cryptosporidial infection responded to treatment. The drug was well tolerated, with mild symptomatology in three patients. Long-term treatment at a stable dose was effective in three of five treated patients for periods for seven months in one (moderate responder) and one year in two. One patient required dose increases to control symptoms, but after one year of treatment developed severe nausea following injections, which required dose cessation. One patient had partial control of his diarrhea for only three months despite two dose increases. These data suggest that octreotide may be of useful therapeutic value in HIV-associated diarrhea and that further studies are indicated. ",digestive system diseases
"Signs distinguishing spasmus nutans (with and without central nervous system lesions) from infantile nystagmus. Clinical findings as well as eye and head movement recordings were analyzed from 23 patients with spasmus nutans without central nervous system (CNS) changes, 10 patients with spasmus nutans-like disease (head nodding, intermittent nystagmus associated with intracranial anomalies or visual pathway disorders), and 25 patients with infantile nystagmus. Ten diagnostic signs were established to differentiate between the patient groups. Although they were helpful in separating patients with infantile nystagmus from those with spasmus nutans, no difference was found between the patients with spasmus nutans with and without CNS lesions. This study indicates that eye and head movement recordings do not allow differentiation between benign spasmus nutans and spasmus nutans-like disease. The differentiation must be made on the basis of neuroimaging. ",nervous system diseases
"Ectopic retinoblastoma within the 3rd ventricle: case report. Ectopic intracranial retinoblastomas are rare. These tumors usually occur in the pineal, parasellar, or suprasellar regions several years after the successful treatment of ocular retinoblastomas with no evidence of direct extension or distant metastasis. We report here a case of ectopic retinoblastoma occurring within the third ventricle. The tumor was surgically excised by the transventricular approach. Ectopic retinoblastomas exhibit greater differentiation than one would expect to observe in a metastatic lesion of this tumor. The distinction of ectopic retinoblastomas and metastasis from ocular retinoblastomas is important, since ectopic retinoblastomas, unlike metastasis, can be successfully managed by intensive therapy including radical excision. ",neoplasms
"Non-AIDS-associated Kaposi's sarcoma (classical and endemic African types): treatment with low doses of recombinant interferon-alpha. In the treatment of the classical and endemic African forms of Kaposi's sarcoma (KS), radiation therapy and chemotherapy have been widely used with varying degrees of success and morbidity. We here report our preliminary experiences with low doses of recombinant interferon alfa-2b (rIFN alpha-2b) in the treatment of these types of KS, non-linked to the acquired immunodeficiency syndrome (AIDS). Ten consecutive patients (eight patients with classical and two with endemic KS) with a median age of 62 years were treated long-term with 5 X 10(6) units of rIFN alpha-2b (Introna) given subcutaneously three times weekly for at least 6 months. Of the 10 patients, six presented with cutaneous disease only, and four had additional visceral involvement. After 6 months of treatment, seven of the 10 patients had a major response of the cutaneous lesions, and three patients showed stable skin diseases. Of the four patients with additional visceral disease, one patient showed a complete regression of an intramyocardial tumor involving the right atrium and ventricle, whereas in the three other patients stabilization of the visceral lesions with marked symptomatic improvement occurred. On the whole, the long-term results over a median duration of 12 months (range, 7 to 30) are also satisfactory: IFN-alpha continued to control KS in all patients. The treatment was generally well tolerated; no serious side effects were observed. Our preliminary data suggest that low-dose rIFN alpha-2b regimens are effective in classical and endemic African KS. However, further studies are needed to establish the exact role for IFN-alpha as alternative to radiation and chemotherapy. ",neoplasms
"Sinus node-atrioventricular node isolation: long-term results with the ""corridor"" operation for atrial fibrillation The ""corridor"" operation is designed to restore sinus rhythm to patients with atrial fibrillation by electrically isolating the sinus node, a band of atrial tissue and the atrioventricular (AV) node from the remaining atrial tissue. Nine patients with drug-refractory atrial fibrillation underwent this operation; four patients had chronic atrial fibrillation and five had paroxysmal atrial fibrillation; the mean duration of symptoms was 12 +/- 8 years. Patient ages ranged from 25 to 68 years (mean 48 +/- 12). At preoperative electrophysiologic study, no patient had evidence of an accessory AV pathway or AV node reentry. Sinus node recovery time could not be determined in five patients because of recurrent atrial fibrillation during or before programmed stimulation. At operation the corridor of atrial tissue connecting the sinus and AV nodes was successfully isolated from the remaining left and right atrial tissue in all patients. One patient required early reoperation for recurrent atrial fibrillation before hospital discharge. At the predischarge electrophysiologic study, the corridor remained isolated in all patients except for one patient who had intermittent conduction between the corridor and excluded right atrium. One patient had nonsustained atrial fibrillation and one had atrial tachycardia evident in the corridor. Atypical AV node reentry of uncertain significance was induced in one other patient. Over a total follow-up of 191 patient months (mean 21 +/- 20), seven patients remained free of atrial fibrillation. Two patients had recurrent atrial fibrillation, which in one patient was effectively controlled by a single antiarrhythmic agent. A permanent pacemaker was implanted in four patients for sinus node dysfunction. ",cardiovascular diseases
"Swan-Ganz catheter-induced massive hemoptysis and pulmonary artery false aneurysm. Swan-Ganz catheter-induced massive hemoptysis and later pulmonary artery false aneurysm occurred in a patient with prosthetic mitral regurgitation. This patient was successfully managed by double-lumen endotracheal intubation, control of pulmonary hypertension, reversal of anticoagulation, mitral valve re-replacement, and transcatheter embolization. The pertinent literature is reviewed. ",cardiovascular diseases
"HBV-DNA detection by gene amplification in acute hepatitis B. Serum samples from 62 women, inadvertently infected with hepatitis B virus in an in vitro fertilization program, were tested for the presence of hepatitis B virus-DNA using the polymerase chain reaction. Under conditions of a strict spatial separation of DNA extraction, amplification and product analysis, we succeeded in detection of as few as 360 hepatitis B virus particles per milliliter. Hepatitis B virus-DNA was detected with a high frequency during HBsAg and HBeAg antigenemia (98.5%) but also in the convalescent phase after appearance of antibody to HBsAg (18.2%). However, all patients with hepatitis B virus-DNA in convalescent sera were hepatitis B virus-DNA negative 3 to 6 mo later. All patients with HBeAg-positive samples showed hepatitis B virus-DNA positivity by polymerase chain reaction. For acute hepatitis, gene amplification restores the relationship between HBeAg and hepatitis B virus-DNA observed in serum from chronic hepatitis B patients and calls attention to the prolonged presence of hepatitis B virus-DNA in serum after generally accepted criteria for resolution of the infection have been reached. ",digestive system diseases
"Gaucher's disease complicated by bleeding esophageal varices and colonic infiltration by Gaucher cells. We report a 10-yr-old child with Gaucher's disease who developed upper gastrointestinal bleeding from esophageal varices, as well as hemorrhage from a colonic polyp infiltrated with Gaucher cells. Both the varices and polyp were treated endoscopically, and the outcome was successful. Although gastrointestinal hemorrhage due to portal hypertension is considered a rare complication of Gaucher's disease, colonic infiltration with Gaucher cells has not been recognized previously. ",digestive system diseases
"Radical prostatectomy and adjuvant radioactive gold seed placement: results of treatment at 5 and 10 years for clinical stages A2, B1 and B2 cancer of the prostate. Between 1977 and 1988, 131 patients with adenocarcinoma of the prostate underwent combined radical prostatectomy and intraoperative radioactive gold seed placement. Of these 131 patients 80 were clinically assessed as having stage A2 (12), B1 (43) or B2 (25) cancer and they are the subject of this review. The average dose of radioactivity administered to each patient was 96.6 mCi, and mean followup was 65 months (median 64 months). No patient in this series received any other form of adjuvant therapy until disease recurrence was demonstrated. Local recurrences were observed in 2 patients (2.5%) in this series while distant recurrences were observed in 10 (12.5%). Cancer specific survival free of disease at 5 years was 100% for clinical stage A2, 91% for B1 and 75% for B2 cancers. The 10-year survival free of disease was 100% for clinical stage A2, 82% for B1 and 68% for B2 cancers. Covariants of clinical stage and seminal vesicle involvement influenced survival free of disease in a statistically significant manner (p less than 0.05) while pathological stage and degree of tumor differentiation did not. Mild to severe complications were observed in 12 patients (15%). Intraoperative placement of radioactive gold seeds into unresected pelvic tissues surrounding the site of prostatectomy offers a theoretical advantage in treatment by delivering tumoricidal levels of irradiation to residual foci of cancer not appreciated at the time of surgery. Our results suggest that increases in cancer specific survival free of disease over that previously reported for prostatectomy alone may be achieved through this combined treatment regimen. Furthermore, it is our opinion that therapeutic gains can be achieved without the attendant increases in morbidity and treatment delay often associated with adjuvant external beam radiotherapy. ",neoplasms
"Regulation of HLA class II molecule expressions by IFN-gamma. The signal transduction mechanism in glioblastoma cell lines. We examined the signal transduction mechanism responsible for the IFN-gamma-induced HLA class II molecule expressions on glioblastoma cell lines, T98G and A172. A series of experiments demonstrated that the activation of protein kinase C (PKC) is involved in the DR and DP molecule expressions on T98G cells. In addition to the activation of PKC, calcium influx appeared to be involved in the DR and DP molecule expressions on T98G. Northern blot analyses with actinomycin D or cycloheximide revealed that these second messengers induce the transcription of DRA and B and DPA and B genes without de novo protein synthesis. Furthermore, we examined the region of the DPB gene that is responsible for IFN-gamma-induced gene transcription by gene transfer of a series of 5' and 3' deletion mutants in which the upstream region of the DPB was linked to a reporter gene, chloramphenicol acetyltransferase. By using these deletion mutants, it appeared that the region between -152 and -126 bp contains a critical IFN-gamma-responsive element. Taken together, these results suggest that IFN-gamma activates PKC and stimulates calcium influx, resulting in the induction of transcription of DRA and B and DPA and B genes without de novo protein synthesis. In DPB gene, we speculate that preexiting protein(s) phosphorylated by PKC in the presence of Ca2+ might directly bind or indirectly interact with the region between -152 and -126 bp of the upstream sequence, leading to the induction of the transcription (possibly in concert with other nuclear protein(s) bound to the promoter sequences). ",neoplasms
"Manual stretch: effect on finger movement control and force control in stroke subjects with spastic extrinsic finger flexor muscles. This study evaluated the effects of manual stretch of extrinsic finger flexor muscles on finger extension movement control and force control in 16 spastic hemiparetic subjects. These subjects were randomly divided into a control group and an experimental group. A group of able-bodied subjects also participated. A joint-movement tracking test (JMTT) quantified control of active finger extension movement at the metacarpophalangeal joint of the index finger within the available range of active movement, and a force tracking test (FTT) quantified control of isometric finger extension force at the same joint within the subject's available force range. Electromyographic activity was monitored in the extensor digitorum and flexor digitorum superficialis muscles during both tracking tests. Manual stretch was applied to the extrinsic finger flexor muscles of the experimental group between the pretest and posttest tracking tests. The JMTT performances of both control (p less than .025) and experimental (p less than .05) groups were significantly subnormal on the pretest as were FTT performances of controls (p less than .01) and study subjects (p less than .03). The JMTT improvement on posttest was significantly greater (p less than .05) in subjects than in controls. However, the change in FTT performance was not significantly different between the two groups. Manual stretch treatment, properly applied to extrinsic finger flexor muscles, is an effective method of temporarily improving the control of finger extension movement in spastic hemiparetic subjects. ",nervous system diseases
"Clue cells in predicting infections after abdominal hysterectomy. Seventy women scheduled for abdominal hysterectomy were examined for the presence of clue cells in the vaginal discharge in an attempt to identify a possible risk group for development of postoperative infection. Seven of 20 women (35%) with clue cells developed vaginal cuff infections or wound infections, compared with four of 50 women (8%) without clue cells (P less than .01). Women with bacterial vaginosis, diagnosed by air-dried vaginal smears, are therefore at risk for postoperative infection. ",general pathological conditions
"Excess purine degradation caused by an imbalance in the supply of adenosine triphosphate in patients with congestive heart failure. To evaluate purine degradation in patients with congestive heart failure concentrations of serum hypoxanthine, lactate, and noradrenaline were measured before and after submaximal treadmill exercise in 12 patients with chronic congestive heart failure and nine healthy volunteers. In four patients the concentration of hypoxanthine was significantly higher than in the controls or in the remaining eight patients with congestive heart failure. Venous lactate and noradrenaline in the four patients with high concentrations of hypoxanthine were also significantly higher than those in the eight patients with normal concentrations of hypoxanthine. Patients who responded normally were also more likely to have been treated with vasodilators and angiotensin converting enzyme inhibitors. Exercise induced arrhythmias were more common in the patients with high concentrations of hypoxanthine. These results suggest that the excess purine degradation in patients with congestive heart failure might be the result of a ""relative"" disturbance in the supply of adenosine triphosphate caused by the shift of cellular metabolism from aerobic glycolysis to anaerobic glycolysis during submaximal exercise and that hypoxanthine (a substrate for xanthine oxidase and a source of free radicals) was increased after submaximal exercise in some patients with congestive heart failure. ",cardiovascular diseases
"The management of aneurysms and arterio-venous fistulae of the popliteal artery arising from war trauma. Emphasis on sigmoid operative approach. Between 1986-1988, 600 vascular cases arising from the Iran-Iraq conflict were dealt with within an 18 month period and 60 cases of popliteal artery and/or venous disruption were encountered presenting at variable times after injury. A policy of management between the forward and base hospital surgical teams was introduced, observing the following broad categorizations: (a) assessment/referral, (b) assessment/fasciotomy/referral, (c) immediate operation/referral for further operation/review/management. Two types of incision were used to enter the popliteal fossa: (a) a medial incision and (b) a sigmoid posterior incision (which we now favor). The results of this strategy of management and operative technique (when compared with our previous experience within the same time frame) suggested an improved outcome. Fifty-four out of 60 cases had a satisfactory operative result with below-knee amputation being required in only four cases and higher amputations in two others. No operative or postoperative deaths occurred. The implementation of this ""vetting policy"" at the front line appeared to reduce the number of amputations and assisted the clarification of management criteria in assessing limb viability at the forward hospital when a large number of casualties were being received. Operative access using the sigmoid posterior incision was not associated with any complications, offered better exposure than the medial incision and was technically easier for the surgeon to perform. ",cardiovascular diseases
"Spontaneous neuronal hyperactivity in the medial and intralaminar thalamic nuclei of patients with deafferentation pain. Electrical activity was recorded from single cells in the thalamus of 10 patients with chronic pain associated with deafferentation. Under local anesthesia, these patients underwent either electrode implantation or thalamotomy for treatment of their pain. In eight of the 10 patients, single units were identified as discharging spontaneously in high-frequency, often rhythmic, bursts. The discharges were of two types: short bursts comprised of two to six spikes with a burst frequency of one to four per second; and long trains of 30 to 80 spikes of similar frequency. Reconstruction of electrode trajectories indicated that recordings were made from the region corresponding to the lateral aspect of the mediodorsal thalamic nucleus, the central lateral nucleus, a small part of the central median nucleus, and the parafascicular nucleus. In the eight patients in whom spontaneous neuronal burst activity was exhibited, it was impossible to study activity evoked by natural cutaneous stimulation due to the continuous spontaneous neuronal discharges. Both animal and human studies have suggested that pain related to deafferentation is accompanied by spontaneous hyperactivity in the dorsal horn of the spinal cord and in the ventral posterior thalamic nuclei. The authors present evidence of spontaneous neuronal hyperactivity in the intralaminar thalamic nuclei of patients with pain related to deafferentation. The findings suggest that spontaneous neuronal discharge in patients with pain related to deafferentation is more widespread in the central nervous system than has been previously appreciated. The results have important implications for the surgical treatment of chronic pain. ",nervous system diseases
"Sterol-dependence of gastric protective activity of unsaturated phospholipids. The major aim of this study was to investigate the gastric protective effect of unsaturated phospholipids and to determine the ability of neutral lipids to enhance this activity. We found that although a liposomal suspension of unsaturated phosphatidylcholine (PC) administered intragastrically failed to protect rats from acid-induced gastric ulcer formation, addition of cholesterol to unsaturated PC induced a dose-dependent protective response with the maximally effective dose, reducing lesion score greater than 70%. This effect also was seen with the plant sterol, beta-sitosterol (reducing lesion score by 81.6 +/- 36%) but was blocked if cholesterol was esterified to fatty acids of varying chain length. Addition of sterols to liposomes of saturated dipalmitoylphosphatidylcholine, in contrast, attenuated the gastric protective action of the saturated PC. It appears that the protective mechanism elicited by sterols and unsaturated PC is not mediated by alterations in gastric emptying rate or prostaglandin biosynthesis, although maintenance of surface hydrophobicity may be involved. These results suggest that the sterol may promote the packing of adjacent unsaturated phospholipid molecules of either the cell membrane or a putative extracellular hydrophobic lining of the gastric epithelium to provide the mucosa with protection against luminal acid. ",digestive system diseases
"Transient cyst-like cortical defects following fractures in children. Medullary fat within the subperiosteal haematoma. Asymptomatic cyst-like cortical defects appearing after fractures in children have been occasionally reported. Typically, these defects appear during fracture consolidation, within the newly formed subperiosteal bone, proximal to the fracture line, do not enlarge, and progressively disappear. We have previously shown a fatty density on CT scan within the early cortical defect. We now present two additional cases in which early CT scans appeared to confirm that these transient cortical defects may consist of fat, and probably result from the inclusion of medullary fat within the subperiosteal haematoma. ",general pathological conditions
"Lobular pattern of choriocapillaris in pre-eclampsia with aldosteronism. We report a case of geographic or mosaic pattern yellowish opaque foci in the left eye of a 36-year-old woman who suffered from severe pre-eclampsia. Though the geographic lesions resulted in chorioretinal atrophy, the mosaic lesion led to no significant atrophy. These two findings were both diagnosed as manifestations of choroidal ischaemia, the former due to choroidal artery occlusion, the latter to transient insufficiency of choroidal circulation, which reflects the lobular pattern of the choriocapillaris. ",cardiovascular diseases
"Clinical perspective on celiprolol: cardioprotective potential. beta-Adrenergic blockers have had widespread use in the treatment of cardiovascular disease. Some agents of this class have been shown to reduce the incidence of total mortality, cardiovascular mortality, sudden death, and nonfatal reinfarction in survivors of acute myocardial infarction. The mechanism for this cardioprotective action is not known. Antiarrhythmic action and hemodynamic alterations have been suggested as possible mechanisms. An anticoagulant mechanism is another possibility, although the antiplatelet effects of beta-blockers are weak. It is now believed that antithrombotic effects may be related to the prevention of coronary artery plaque rupture and the subsequent propagation of an occlusive arterial thrombus rather than a direct anticoagulant action. The therapeutic ability beta-blockers to attenuate the hemodynamic consequences of catecholamine surgers, as they do in aortic dissection, may protect a vulnerable plaque from fracture, reducing the risk of coronary thrombosis, myocardial infarction, and death. Celiprolol, a third-generation beta 1-selective adrenergic blocker with partial beta 2-agonist activity, is comparable to other beta-blockers in antihypertensive and antianginal activity. It has additional actions that may be beneficial to patients: (1) it does not adversely affect lipids and lipoproteins; (2) it does not appear to depress the myocardium in patients with left ventricular dysfunction; (3) it can lower serum fibrinogen levels; and (4) it can cause regression of myocardial mass in patients with left ventricular hypertrophy. ",cardiovascular diseases
A comparison of midazolam with and without nalbuphine for intravenous sedation. The introduction of nalbuphine to intravenous sedation with midazolam added little to the quality of sedation for short operative procedures. There was a greater tendency for patients who received nalbuphine and midazolam to sleep in the afternoon after treatment compared with those who received only midazolam. Significantly more patients had nausea and vomiting in the midazolam/nalbuphine group than did patients in the midazolam-only group. ,digestive system diseases
"Cardioprotective effects of authentic nitric oxide in myocardial ischemia with reperfusion. BACKGROUND AND METHODS: The purpose of this study was to determine the effects of nitric oxide (NO), believed to be endothelium-derived relaxing factor on reperfusion injury after myocardial ischemia (MI). The effects of NO were investigated in a 6-hr model of MI with reperfusion in open-chest, anesthetized cats. A solution containing NO was infused iv starting 30 min after occlusion of the left anterior descending coronary artery, continuing through reperfusion 1 hr later, and lasting for 5.5 hr. Estimated NO concentration in the circulation was 1 to 2 x 10(-9) M. RESULTS: The areas-at-risk expressed as a percentage of the total left ventricular weights were not significantly different among either of the MI groups. However, the necrotic area (expressed as a percentage of the myocardial area-at-risk) was significantly (p less than .01) lower in the NO-treated MI cats compared with the MI + vehicle group. Cardiac myeloperoxidase activities indicated that significantly (p less than .05) fewer neutrophils were attracted to the necrotic zone of the NO-treated MI cats when compared with MI cats receiving only the vehicle. Sodium nitrate (NaNO2) (pH 7.4), a major breakdown product of NO, failed to exert any protective effect in this same model of MI and reperfusion. CONCLUSIONS: NO appears to provide significant myocardial protection after ischemia and reperfusion. NO may afford cardioprotection by incorporation into circulating blood cells (i.e., neutrophils, platelets), thereby inhibiting their accumulation and adherence in the ischemic region, or by a direct cardiac cytoprotective effect. Further studies using NO donors rather than NO would be an appropriate clinically relevant mode of treatment in MI. ",cardiovascular diseases
"Studies of controlled reperfusion after ischemia. XXIII. Deleterious effects of simulated thrombolysis preceding simulated coronary artery bypass grafting with controlled blood cardioplegic reperfusion. This study tests whether simulated thrombolysis before controlled reperfusion (i.e., simulated coronary artery bypass) causes reperfusion injury that obviates the benefits of subsequent controlled reperfusion and results in unnecessary ventricular arrhythmias. Fifteen dogs underwent acute occlusion of the left anterior descending coronary artery. In 10 dogs we simulated thrombolysis after 1 hour of ischemia (delivering 10% to 15% of control flow at 5 ml/min), followed 1 hour later by either normal blood reperfusion at systemic pressure (to simulate percutaneous transluminal coronary angioplasty) in five dogs or regionally controlled blood cardioplegic reperfusion on bypass in five others to simulate coronary bypass. In five dogs ischemia was prolonged to 2 hours, and the initial reperfusate was blood cardioplegic solution on total vented bypass (to simulate primary coronary bypass). All hearts receiving simulated thrombolysis (100%) after 1 hour of ischemia had reperfusion-induced ventricular fibrillation. All hearts treated by simulated angioplasty recovered regional contractility (56% of control systolic shortening), whereas there was no (0%) recovery of spontaneous contractility after subsequent blood cardioplegic reperfusion, and only two (40%) dogs had contractile reserve capacity (6% +/- 49%). Conversely, surgically controlled blood cardioplegic reperfusion without preceding low-flow normal blood reperfusion after 2 hours of ischemia resulted in no ventricular arrhythmias (0%; p less than 0.05 versus simulated coronary artery bypass after simulated thrombolysis), 72% +/- 7% (p less than 0.05 versus simulated coronary artery bypass after simulated thrombolysis) recovery of regional contractility (ultrasonic crystals), and 114% +/- 11% (p less than 0.05 versus simulated coronary artery bypass after simulated thrombolysis) recovery of contractile reserve with calcium chloride stimulation. We conclude that controlled reperfusion (simulating coronary artery bypass) with blood cardioplegic solution produces immediate functional recovery and avoids the ventricular fibrillation that follows simulated thrombolysis despite the need for prolonged ischemic time. Preceding controlled reperfusion by normal blood reperfusion (simulated thrombolysis) shortens the ischemic time but nullifies immediate functional recovery possible by simulated coronary bypass and produces unnecessary arrhythmias. ",cardiovascular diseases
"Felodipine in the treatment of hypertensive type II diabetics: effect on glucose homeostasis. The effect of felodipine on glucose tolerance was evaluated in 18 male type II diabetic patients treated with diet alone, who were hypertensive despite beta-blocker treatment. The study was a double-bind cross-over comparison of placebo and felodipine in addition to beta-blockade. Oral glucose tolerance tests were performed at randomization and at the end of each 4-week double-blind treatment period. The doses of felodipine given were 5 mg b.i.d. for 2 weeks followed by 10 mg b.i.d. for a further 2 weeks. Blood pressure was significantly reduced during felodipine treatment, whereas heart rate remained unaltered. HbA1c and fasting insulin levels did not change during the treatment periods. Fasting and maximal blood glucose levels were not altered between any of the treatment periods. However, there was a small but statistically significant increase (median increase 4%) in the area under the glucose concentration vs. time curve after felodipine as compared to placebo treatment. This increase was not considered to be clinically significant in the short term, but the finding merits further investigation in a rigorous long-term study. ",cardiovascular diseases
"Glucose polymers as an alternative to glucose in oral rehydration solutions. Several issues involving glucose-based oral rehydration therapy may limit its acceptability and sustained use. Our studies suggest that defined short-chain glucose polymers (2 to 9 glucose units) are hydrolyzed and absorbed faster than isocaloric solutions of D-glucose in the small intestine of the rat. Glucose polymers, primarily from rice-based solutions, have been shown to be as effective as glucose-based solutions. They offer additional advantages in reducing the amount and duration of diarrhea with lesser volumes of solution, thereby reducing the costs of treatment. Rice-based solutions provide high caloric density and increase the absorption of sodium without an osmotic overload. The result is increased net absorption of glucose, sodium, and water. Glucose polymers from rice or other starches in oral rehydration solutions may be effective, inexpensive, easily used, and safe treatments for acute diarrhea. ",digestive system diseases
"Surgery in patients on long-term steroid therapy: a tentative model for risk assessment. Increased morbidity after operation has been associated with long-term steroid therapy. To determine the correlation between steroid therapy and such morbidity, the perioperative course of 55 steroid-treated patients was reviewed: 27 had bronchopulmonary disorders (group P) and 28 had non-pulmonary diseases (group NP). There were six (11 per cent) deaths, of which three were steroid related. Among the 13 non-lethal postoperative complications, eight were considered to be steroid related in group P and one in group NP. The duration of steroid therapy was for a median of 24 months (range 1-408 months) in group P and for a median of 6 months (range 1-240 months) in group NP (P less than 0.01). In contrast, the daily dose of hydrocortisone or equivalent before operation was significantly lower in group P, with a median of 0.51 mg kg-1 day-1 (range 0.20-2.56 mg kg-1 day-1) than in group NP, with a median of 1.20 mg kg-1 day-1 (range 0.23-7.38 mg kg-1 day-1) (P less than 0.01). In conclusion, bronchopulmonary disorders requiring a long duration of steroid therapy are associated with a higher risk of steroid-related complications after surgery. A convenient mathematical model is proposed which may allow a preoperative assessment of surgical risk, using steroid dose and duration of treatment. ",general pathological conditions
"Increased ischemic injury but decreased hypoxic injury in hypertrophied rat hearts. The purpose of this study was to compare the degree of ischemic and hypoxic injury in normal versus hypertrophied rat hearts to investigate basic mechanisms responsible for irreversible myocardial ischemic injury. Hearts from rats with bands placed on the aortic arch at 23 days of age (BAND) and sham-operated rats (SHAM, 8 weeks postoperative) were isolated, perfused with Krebs buffer, and had a left ventricular balloon to measure developed pressure. Hearts were made globally ischemic until they developed peak ischemic contracture and were reperfused for 30 minutes. Additional hearts were perfused for 15 minutes with glucose-free hypoxic buffer followed by 20 minutes of oxygenated perfusion. There was an 87% increase in heart weight of BAND compared with SHAM (p less than 0.01). During ischemia, lactate levels increased faster in BAND compared with SHAM, ischemic contracture occurred earlier in BAND than in SHAM despite no difference in ATP levels, and postischemic recovery of left ventricular pressure was less in BAND (26.8 +/- 5.6% of control left ventricular pressure, mean +/- SEM) compared with SHAM (40 +/- 4.6%, p less than 0.05). During hypoxic perfusion, lactate release was greater in BAND than in SHAM (48.8 +/- 1.2 versus 26.6 +/- 0.97 mumols/g, p less than 0.01), and with reoxygenation, lactate dehydrogenase release was less in BAND than in SHAM (13.2 +/- 0.7 versus 19.5 +/- 0.2 IU/g, p less than 0.01). After hypoxia and reoxygenation, left ventricular pressure recovery was greater in BAND than in SHAM (93 +/- 8.4% versus 66 +/- 5.3%, p less than 0.01). Thus, this study suggests that hypertrophied hearts have a greater potential for glycolytic metabolism, resulting in an increased rate of by-product accumulation during ischemia, which may be responsible for the increased susceptibility of hypertrophied hearts to ischemic injury. ",cardiovascular diseases
"Ocular motor abnormalities from head trauma. Head injuries cause the hospitalization of 200-300 persons per 100,000 population per year. Ophthalmologists provide diagnostic and therapeutic care to those trauma victims with damage to the globe, optic nerve, orbit, and ocular motor system. Eye movements can be affected by damage at any level of the central nervous system or peripheral motor unit. Comprehensive ocular motor assessment of the trauma patient can substantially contribute to the understanding of the patient's injury, recovery, and rehabilitation. This review examines all aspects of head and face trauma that can lead to ocular motility disturbances. ",nervous system diseases
"Chondrosarcoma of the soft tissues. Two different sub-groups. Chondrosarcomas arising from soft tissues are rare. Two different varieties are described, myxoid and mesenchymal. We have collected nine cases of the tumour, five myxoid and four mesenchymal, from a review of 513 cases of chondrosarcoma seen between 1904 and 1988. We report the principal clinical, radiographical and histological differences between the two varieties and discuss their surgical treatment and prognosis. ",neoplasms
"Upper tract tumours following cystectomy for bladder cancer. Is routine intravenous urography worthwhile? The incidence and presentation of upper tract tumours were studied in 180 patients who had previously undergone cystectomy for transitional cell carcinoma of the bladder. Intravenous urography was performed routinely 3 months after cystectomy, 1 year later and at 3-yearly intervals thereafter. Ten patients developed upper tract tumours; 1 presented with loin pain and the remainder with haematuria. Six patients underwent nephroureterectomy and 5 of them lived for at least 4 years; 4 were inoperable and only 1 survived longer than 6 months. In this series, all patients with upper tract tumours presented with symptoms and routine intravenous urography failed to detect any asymptomatic lesions. Routine radiological assessment of the upper tracts to detect tumours is not justified following cystectomy. ",neoplasms
